name,styleUrl,fill-opacity,fill,stroke-opacity,stroke,stroke-width,icon-offset,icon-offset-units,icon,latitude,longitude
66,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97474028182311,23.7240720223863
67,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97554940156892,23.72436969610578
68,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97464973845481,23.72467850007555
69,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97288667096489,23.72443966672837
70,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97315113031898,23.72353412190332
71,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97304818539245,23.72477546382418
72,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97387489906873,23.72462086905651
73,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97409690519414,23.72444535654824
74,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97465574052333,23.72290364849916
75,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97299643256829,23.72148155666079
76,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97297606842817,23.72153595921559
77,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97517554214895,23.72142587773912
